geoid,median_income,pct_housing_pre_1950,poverty_rate,children_under_6_rate,minority_share,median_housing_year,acs_year
340030103001,116250.0,0.3742857142857143,,0.06047700170357751,0.489778534923339,1952.0,2022
340030103002,,0.40638297872340423,,0.0,0.6428571428571428,1954.0,2022
340030103003,149286.0,0.1846590909090909,,0.015549076773566569,0.33333333333333337,1955.0,2022
340030103004,93400.0,0.7413793103448276,,0.05714285714285714,0.21904761904761905,1946.0,2022
340030103005,190859.0,0.8733766233766234,,0.03882352941176471,0.5623529411764706,1938.0,2022
340030103006,98983.0,0.2671232876712329,,0.04926108374384237,0.2561576354679803,1966.0,2022
340030103007,114403.0,0.5077288941736029,,0.0032863849765258214,0.33896713615023477,1949.0,2022
340030111001,130755.0,0.2833333333333333,,0.0675818373812038,0.16789862724392823,1954.0,2022
340030111002,138237.0,0.29876543209876544,,0.00909090909090909,0.4136363636363637,1955.0,2022
340030111003,61417.0,0.3013972055888224,,0.10279765777488614,0.4808067664281067,1958.0,2022
340030111004,111071.0,0.4587737843551797,,0.06706981858163827,0.44365035733919733,1951.0,2022
340030112001,45893.0,0.17866004962779156,,0.10966340933767643,0.7133550488599348,1963.0,2022
340030112002,145268.0,0.5213483146067416,,0.06487695749440715,0.2348993288590604,1950.0,2022
